id,question,answer,category
207,Как получить кредит наличными? (в отделении),Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Юридические лица
208,Как подключить зарплатный проект? (по телефону),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Личные данные
209,Как обновить личные данные? (на сайте),Вы получите уведомление после завершения операции. Услуга доступна круглосуточно.,Карты
210,Как оформить дебетовую карту? (онлайн),При возникновении проблем обратитесь в службу поддержки банка. Процесс занимает несколько минут.,Ипотека
211,Как инвестировать через банк? (онлайн),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Процесс занимает несколько минут.,Переводы
212,Как получить кредит наличными? (по телефону),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Технические вопросы
213,Как восстановить доступ к мобильному приложению? (через приложение),Оформление занимает несколько минут и не требует визита в офис. Понадобятся ваши паспортные данные.,Переводы
214,Как оформить дебетовую карту? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Переводы
215,Как связаться со службой поддержки? (в отделении),Оформление занимает несколько минут и не требует визита в офис. Услуга доступна круглосуточно.,Кредиты
216,Как восстановить доступ к мобильному приложению? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Ответ придет на ваш email.,Личные данные
217,Как инвестировать через банк? (в отделении),"Услуга доступна клиентам, прошедшим идентификацию. Услуга доступна круглосуточно.",Комиссии и тарифы
218,Как связаться со службой поддержки? (по телефону),Вы получите уведомление после завершения операции. Процесс занимает несколько минут.,Карты
219,Как открыть расчётный счёт для бизнеса? (по телефону),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Юридические лица
220,Как перевести деньги на другую карту? (по телефону),При возникновении проблем обратитесь в службу поддержки банка. Ответ придет на ваш email.,Технические вопросы
221,Как обновить личные данные? (на сайте),Для уточнения информации обратитесь в ближайшее отделение. Ответ придет на ваш email.,Кредиты
222,"Что делать, если потерял карту? (онлайн)",Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Инвестиции
223,Как узнать тариф по карте? (по телефону),Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Переводы
224,Как работает кэшбэк по картам? (в отделении),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Понадобятся ваши паспортные данные.,Технические вопросы
225,Как обновить личные данные? (через приложение),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Страхование
226,Как открыть счёт на юридическое лицо? (в отделении),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Понадобятся ваши паспортные данные.,Личные данные
227,Как работает кэшбэк по картам? (через приложение),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Страхование
228,Как инвестировать через банк? (онлайн),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Карты
229,Как работает кэшбэк по картам? (по телефону),Проверьте актуальные условия на сайте банка. Процесс занимает несколько минут.,Интернет-банк
230,Как открыть счёт на юридическое лицо? (в отделении),Проверьте актуальные условия на сайте банка. Ответ придет на ваш email.,Интернет-банк
231,Как подключить зарплатный проект? (онлайн),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Ответ придет на ваш email.,Карты
232,Как подключить зарплатный проект? (по телефону),Для уточнения информации обратитесь в ближайшее отделение. Услуга доступна круглосуточно.,Личные данные
233,Как обменять валюту онлайн? (по телефону),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Понадобятся ваши паспортные данные.,Ипотека
234,Как восстановить доступ к мобильному приложению? (онлайн),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Безопасность
235,Как оформить дебетовую карту? (по телефону),Вы получите уведомление после завершения операции. Услуга доступна круглосуточно.,Мобильное приложение
236,Как открыть расчётный счёт для бизнеса? (по телефону),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Ответ придет на ваш email.,Валюта и обмен
237,Как открыть расчётный счёт для бизнеса? (в отделении),При возникновении проблем обратитесь в службу поддержки банка. Услуга доступна круглосуточно.,Кэшбэк и бонусы
238,Как открыть счёт на юридическое лицо? (по телефону),Для уточнения информации обратитесь в ближайшее отделение. Услуга доступна круглосуточно.,Кэшбэк и бонусы
239,Как сменить пароль в интернет-банке? (по телефону),"Услуга доступна клиентам, прошедшим идентификацию. Процесс занимает несколько минут.",Бизнес
240,Как подать заявку на ипотеку? (по телефону),Для уточнения информации обратитесь в ближайшее отделение. Понадобятся ваши паспортные данные.,Юридические лица
241,Как восстановить доступ к мобильному приложению? (на сайте),При возникновении проблем обратитесь в службу поддержки банка. Услуга доступна круглосуточно.,Страхование
242,Как обновить личные данные? (онлайн),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Ответ придет на ваш email.,Комиссии и тарифы
243,Как обновить личные данные? (в отделении),Оформление занимает несколько минут и не требует визита в офис. Процесс занимает несколько минут.,Комиссии и тарифы
244,Как открыть расчётный счёт для бизнеса? (по телефону),Для уточнения информации обратитесь в ближайшее отделение. Ответ придет на ваш email.,Юридические лица
245,Как сменить пароль в интернет-банке? (онлайн),Проверьте актуальные условия на сайте банка. Ответ придет на ваш email.,Юридические лица
246,"Что делать, если потерял карту? (в отделении)",Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Ответ придет на ваш email.,Валюта и обмен
247,"Что делать, если потерял карту? (в отделении)",Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Платежи
248,Как инвестировать через банк? (на сайте),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Ответ придет на ваш email.,Инвестиции
249,Как открыть расчётный счёт для бизнеса? (онлайн),Вы можете оформить услугу онлайн или в отделении банка. Процесс занимает несколько минут.,Платежи
250,Как оформить страхование путешественников? (онлайн),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Инвестиции
251,Как оплатить коммунальные услуги? (в отделении),Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Ипотека
252,Что делать при технических ошибках? (через приложение),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Ответ придет на ваш email.,Мобильное приложение
253,Как оплатить коммунальные услуги? (через приложение),При возникновении проблем обратитесь в службу поддержки банка. Услуга доступна круглосуточно.,Валюта и обмен
254,Как открыть расчётный счёт для бизнеса? (по телефону),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Безопасность
255,Как получить кредит наличными? (онлайн),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Безопасность
256,Как оформить страхование путешественников? (онлайн),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Кредиты
257,Как открыть вклад онлайн? (по телефону),"Услуга доступна клиентам, прошедшим идентификацию. Услуга доступна круглосуточно.",Платежи
258,Как подать заявку на ипотеку? (в отделении),При возникновении проблем обратитесь в службу поддержки банка. Понадобятся ваши паспортные данные.,Бизнес
259,Как узнать тариф по карте? (в отделении),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Безопасность
260,Как получить кредит наличными? (онлайн),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Личные данные
261,Как обновить личные данные? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Услуга доступна круглосуточно.,Валюта и обмен
262,Как обменять валюту онлайн? (онлайн),При возникновении проблем обратитесь в службу поддержки банка. Процесс занимает несколько минут.,Кредиты
263,Как связаться со службой поддержки? (в отделении),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Понадобятся ваши паспортные данные.,Карты
264,Как открыть вклад онлайн? (на сайте),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Юридические лица
265,Как оформить дебетовую карту? (на сайте),Для уточнения информации обратитесь в ближайшее отделение. Понадобятся ваши паспортные данные.,Зарплатные проекты
266,Как инвестировать через банк? (по телефону),"Услуга доступна клиентам, прошедшим идентификацию. Ответ придет на ваш email.",Ипотека
267,Как узнать тариф по карте? (по телефону),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Переводы
268,Как перевести деньги на другую карту? (на сайте),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Переводы
269,Как оплатить коммунальные услуги? (онлайн),Для уточнения информации обратитесь в ближайшее отделение. Процесс занимает несколько минут.,Ипотека
270,Как связаться со службой поддержки? (на сайте),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Интернет-банк
271,Как открыть расчётный счёт для бизнеса? (онлайн),Проверьте актуальные условия на сайте банка. Ответ придет на ваш email.,Безопасность
272,Как обновить личные данные? (по телефону),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Ответ придет на ваш email.,Кредиты
273,Как обменять валюту онлайн? (онлайн),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Ответ придет на ваш email.,Безопасность
274,Как открыть счёт на юридическое лицо? (через приложение),Вы получите уведомление после завершения операции. Процесс занимает несколько минут.,Интернет-банк
275,Как узнать тариф по карте? (в отделении),Вы получите уведомление после завершения операции. Услуга доступна круглосуточно.,Комиссии и тарифы
276,Как узнать тариф по карте? (в отделении),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Услуга доступна круглосуточно.,Юридические лица
277,Как подать заявку на ипотеку? (онлайн),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Юридические лица
278,Как оформить дебетовую карту? (по телефону),Оформление занимает несколько минут и не требует визита в офис. Процесс занимает несколько минут.,Безопасность
279,Как открыть вклад онлайн? (онлайн),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Юридические лица
280,Как восстановить доступ к мобильному приложению? (онлайн),"Услуга доступна клиентам, прошедшим идентификацию. Ответ придет на ваш email.",Мобильное приложение
281,Как открыть расчётный счёт для бизнеса? (через приложение),Для уточнения информации обратитесь в ближайшее отделение. Понадобятся ваши паспортные данные.,Карты
282,Как открыть расчётный счёт для бизнеса? (по телефону),Вы можете оформить услугу онлайн или в отделении банка. Ответ придет на ваш email.,Личные данные
283,Как оформить дебетовую карту? (по телефону),При возникновении проблем обратитесь в службу поддержки банка. Процесс занимает несколько минут.,Юридические лица
284,Что делать при технических ошибках? (по телефону),"Услуга доступна клиентам, прошедшим идентификацию. Процесс занимает несколько минут.",Вклады
285,Как обменять валюту онлайн? (в отделении),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Карты
286,Как обновить личные данные? (через приложение),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Инвестиции
287,Как обновить личные данные? (на сайте),При возникновении проблем обратитесь в службу поддержки банка. Ответ придет на ваш email.,Валюта и обмен
288,Как инвестировать через банк? (через приложение),Вы получите уведомление после завершения операции. Понадобятся ваши паспортные данные.,Личные данные
289,Как открыть расчётный счёт для бизнеса? (через приложение),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Ответ придет на ваш email.,Ипотека
290,Как получить кредит наличными? (на сайте),Оформление занимает несколько минут и не требует визита в офис. Услуга доступна круглосуточно.,Интернет-банк
291,Как перевести деньги на другую карту? (на сайте),"Услуга доступна клиентам, прошедшим идентификацию. Понадобятся ваши паспортные данные.",Кредиты
292,Как сменить пароль в интернет-банке? (через приложение),Вы получите уведомление после завершения операции. Процесс занимает несколько минут.,Интернет-банк
293,Как подключить зарплатный проект? (онлайн),"Услуга доступна клиентам, прошедшим идентификацию. Ответ придет на ваш email.",Технические вопросы
294,Как оформить дебетовую карту? (на сайте),Проверьте актуальные условия на сайте банка. Ответ придет на ваш email.,Страхование
295,Что делать при технических ошибках? (по телефону),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Понадобятся ваши паспортные данные.,Технические вопросы
296,Как узнать тариф по карте? (на сайте),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Карты
297,Как восстановить доступ к мобильному приложению? (в отделении),Вы можете оформить услугу онлайн или в отделении банка. Услуга доступна круглосуточно.,Кэшбэк и бонусы
298,Как подключить зарплатный проект? (в отделении),"Услуга доступна клиентам, прошедшим идентификацию. Ответ придет на ваш email.",Технические вопросы
299,Как связаться со службой поддержки? (на сайте),Для уточнения информации обратитесь в ближайшее отделение. Ответ придет на ваш email.,Комиссии и тарифы
300,Как оформить дебетовую карту? (онлайн),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Услуга доступна круглосуточно.,Безопасность
